iata,name,tz
AWM,West Memphis Municipal Airport,America/Chicago
AWN,Alton Downs,Australia/Adelaide
AWP,Austral Downs Airport,Australia/Darwin
AWR,Awar Airport,Pacific/Port_Moresby
AWZ,Ahwaz International Airport,Asia/Tehran
AXA,Clayton J. Lloyd International Airport,America/Anguilla
AXB,Alexandria Bay,America/New_York
AXC,Aramac Airport,Australia/Brisbane
AXD,Alexandroupoli Airport,Europe/Athens
AXE,Xanxere,America/Sao_Paulo
AXF,Alxa Left Banner Airport,Asia/Shanghai
AXG,Algona Municipal Airport,America/Chicago
AXJ,Amakusa Airfield,Asia/Tokyo
AXK,Ataq Airport,Asia/Aden
AXL,Alexandria Homestead Airport,Australia/Darwin
AXM,Armenia / El Eden,America/Bogota
AXN,Chandler Field,America/Chicago
AXO,Pantar Airport,Asia/Makassar
AXP,Spring Point Airport,America/Nassau
AXR,Arutua Airport,Pacific/Tahiti
AXS,Altus Municipal Airport,America/Chicago
AXT,Akita Airport,Asia/Tokyo
AXU,Axum Airport,Africa/Addis_Ababa
AXV,Neil Armstrong Airport,America/New_York
AXX,Angel Fire Airport,America/Denver
AYA,Ayapel,America/Bogota
AYC,Ayacucho,America/Bogota
AYD,Alroy Downs Airport,Australia/Darwin
AYG,Yaguara Airport,America/Bogota
AYI,Yari,America/Bogota
AYJ,Ayodhya Airport,Asia/Kolkata
AYK,Arkalyk North Airport,Asia/Qostanay
AYL,Anthony Lagoon Airport,Australia/Darwin
AYM,Yas Island Seaplane Base,Asia/Dubai
AYN,Anyang Airport,Asia/Shanghai
AYO,Juan de Ayolas Airport,America/Asuncion
AYP,Coronel FAP Alfredo Mendívil Duarte Airport,America/Lima
AYQ,Ayers Rock Airport,Australia/Darwin
AYR,Ayr Airport,Australia/Brisbane
AYS,Waycross-Ware County Airport,America/New_York
AYT,Antalya Airport,Europe/Istanbul
AYU,Aiyura Airport,Pacific/Port_Moresby
AYW,Ayawasi Airport,Asia/Jayapura
AYX,Lieutenant General Gerardo Pérez Pinedo Airport,America/Lima
AYY,Arugam Bay Lagoon Waterdrome,Asia/Colombo
AZA,Phoenix-Mesa Gateway Airport,America/Phoenix
AZB,Amazon Bay,Pacific/Port_Moresby
AZD,Yazd Airport,Asia/Tehran
AZG,Pablo L. Sidar Airport,America/Mexico_City
AZH,Azamgarh Airport,Asia/Kolkata
AZI,Abu Dhabi Bateen Airport,Asia/Dubai
AZJ,Zhenjiang Dalu Airport,Asia/Shanghai
AZL,Fazenda Tucunare,America/Cuiaba
AZN,Andizhan Airport,Asia/Tashkent
AZO,Kalamazoo-Battle Creek International Airport,America/Detroit
AZP,Atizapán-Jimenez Cantu Airport,America/Mexico_City
AZR,Touat-Cheikh Sidi Mohamed Belkebir Airport,Africa/Algiers
AZS,Samaná El Catey International Airport,America/Santo_Domingo
AZT,Zapatoca,America/Bogota
AZZ,Ambriz Airport,Africa/Luanda
BAA,Bialla Airport,Pacific/Port_Moresby
BAB,Beale Air Force Base,America/Los_Angeles
BAC,Barranca De Upia,America/Bogota
BAD,Barksdale Air Force Base,America/Chicago
BAE,Barcelonnette – Saint-Pons Airport,Europe/Paris
BAF,Westfield-Barnes Regional Airport,America/New_York
BAG,Baguio-Loakan Airport,Asia/Manila
BAH,Bahrain International Airport,Asia/Bahrain
BAI,Buenos Aires Airport,America/Costa_Rica
BAJ,Bali,Pacific/Port_Moresby
BAK,Baku,Asia/Baku
BAL,Batman Airport,Europe/Istanbul
BAM,Battle Mountain Airport,America/Los_Angeles
BAN,Basongo Airport,Africa/Lubumbashi
BAP,Baibara,Pacific/Port_Moresby
BAQ,Ernesto Cortissoz International Airport,America/Bogota
BAR,Qionghai Bo'ao Airport,Asia/Shanghai
BAS,Balalae Airport,Pacific/Guadalcanal
BAT,Chafei Amsei Airport,America/Sao_Paulo
BAU,Bauru Airport,America/Sao_Paulo
BAV,Baotou Donghe Airport,Asia/Shanghai
BAW,Biawonque,Africa/Libreville
BAX,Barnaul Airport,Asia/Barnaul
BAY,Baia Mare International Airport,Europe/Bucharest
BAZ,Barcelos Airport,America/Manaus
BBA,Balmaceda Airport,America/Santiago
BBB,Benson Municipal Airport,America/Chicago
BBC,Bay City Municipal Airport,America/Chicago
BBD,Brady Curtis Field,America/Chicago
BBE,Big Bell,Australia/Perth
BBG,Butaritari Airport,Pacific/Tarawa
BBH,Stralsund Barth Airport,Europe/Berlin
BBI,Biju Patnaik International Airport,Asia/Kolkata
BBJ,Bitburg Airport,Europe/Berlin
BBK,Kasane Airport,Africa/Gaborone
BBL,Ballera Airport,Australia/Brisbane
BBM,Battambang Airport,Asia/Phnom_Penh
BBN,Bario Airport,Asia/Kuching
BBO,Berbera Airport,Africa/Mogadishu
BBP,Bembridge Airport,Europe/London
